site,plot,fine_load_Mg_ha,vox_l1_cnt,vox_l1_mean,vox_l1_median,vox_l1_std,vox_l1_tgi,vox_l1_vari,vox_l1_skew,vox_l1_kurt,TBA,Basalarea,MeanTH,MDBH,TreesN,MaxTH,SDHT,CBH,LAI,ULAI,MLAI,OLAI,FHD,GiSimp,LAHV,fuel0_3l1_cnt,fuel0_3l1_mean,fuel0_3l1_median,fuel0_3l1_std,fuel0_3l1_tgi,fuel0_3l1_vari,fuel0_3l1_skew,fuel0_3l1_kurt,shrubs_l1_cnt,shrubs_l1_mean,shrubs_l1_median,shrubs_l1_std,shrubs_l1_tgi,shrubs_l1_vari,shrubs_l1_skew,shrubs_l1_kurt,ShrubsN,shrubArea,scaledShrubArea,MeanSH,MeanSA,MaxSH,SDSHT,MeanSD,MaxSD,MinSD,SDSD,fine_l1_cnt,fine_l1_mean,fine_l1_median,fine_l1_std,fine_l1_tgi,fine_l1_vari,fine_l1_skew,fine_l1_kurt,hr0_10_l1_cnt,hr0_10_l1_mean,hr0_10_l1_median,hr0_10_l1_std,hr0_10_l1_tgi,hr0_10_l1_vari,hr0_10_l1_skew,hr0_10_l1_kurt,hr100_1000_l1_cnt,hr100_1000_l1_mean,hr100_1000_l1_median,hr100_1000_l1_std,hr100_1000_l1_tgi,hr100_1000_l1_vari,hr100_1000_l1_skew,hr100_1000_l1_kurt
BLG,101,20.27498748279475,2108947,8.218428974,6.172,6.73332689,-6.969358325,9426.064144,0.645268254,-0.660729624,22.91184355,210.7297372,22.88895455,12.31452512,22,29.796,5.564222852,4.446,2.707178976,1.19080069,1.18841522,0.771447772,0.16137272,0.999933239,0.195693427,2276739,0.603498571,0.177,0.804115244,1.574321307,4310.905839,1.434145974,0.872897882,425275,0.697109745,0.178,0.87167479,0.690448349,4616.961478,1.126882328,-0.010363768,47,177.905,1636.266144,2.913829787,3.785212766,2.999,0.245842944,10.52687646,27.28006598,0,6.246570694,472921,0.45588896,0.131,0.699805936,1.422276289,2184.582037,1.98634269,3.011626837,33464,0.811132321,0.359,0.904017762,-1.059062838,-1996.785119,0.933845789,-0.499748791,49920,0.34747526,0.171,0.480118259,9.127992,8443.04886,2.719311394,8.422147839
BLG,102,10.619226981240612,1469968,4.957818786,3.135,5.534660265,-5.066233115,9301.216906,1.852422896,3.215004609,22.4272056,216.0948122,16.8093,17.38002413,10,29.805,9.933159552,2.618,2.615273397,1.224833934,1.013623814,0.716660075,0.15021277,0.999927461,0.198044361,3323178,1.112383798,0.922,0.946808638,-5.488860439,13993.94948,0.423283792,-1.162460618,1065160,1.151740664,0.958,0.974763684,-6.447946607,16177.79119,0.372528401,-1.260351446,41,195.764,1886.261961,2.771390244,4.774731707,2.999,0.400320864,10.21816057,26.03855267,0,6.268052558,331261,0.943722506,0.705,0.914064631,-3.223685948,4740.303051,0.593868788,-0.956948467,33565,1.223319797,1.135,0.922029119,-7.056879201,6278.61569,0.212713205,-1.226829182,5906,0.817940061,0.4515,0.863832223,-11.64093178,0.106406335,0.865218003,-0.570998631
BLG,104,4.817165237577042,1413916,3.187630044,2.903,2.606780068,-8.921437598,1177.886343,2.104792139,11.42862623,22.22279083,217.2284605,13.01445455,12.9131949,11,21.903,4.748359324,2.204,1.622049495,1.270580769,0.490186589,0.11501624,0.080326063,0.999934878,0.107621801,3630345,1.062582673,0.891,0.93614897,-1.142783429,2083.412903,0.469808626,-1.080161495,1287192,1.043962125,0.859,0.959914585,-1.736437762,1884.788855,0.481070583,-1.117920696,49,250.167,2445.390081,2.802571429,5.10544898,2.999,0.381018755,9.718200591,25.4216172,0,6.045470772,167018,1.044407405,0.856,0.933700633,-0.771379079,1661.832282,0.410767969,-1.211274803,23957,1.183731102,1.078,0.847043031,-3.152273011,-0.008482398,0.271768244,-1.032665879,4660,0.893318026,0.734,0.827888654,3.386753,-0.075704451,0.896018289,-0.364333299
BLG,105,6.9546100456469775,1620433,6.074158252,3.93,6.372410487,-2.393926895,31091.90505,1.388694323,1.352409923,24.17907215,214.5819835,21.52316667,17.42955379,12,27.472,3.613712215,3.431,2.637778804,1.183467724,1.055283806,0.743066352,0.15574784,0.999929145,0.205297809,3289967,1.066224966,1.017,0.845919852,-11.79340684,8986.522233,0.437602412,-0.884663435,918271,1.25730895,1.338,0.861594057,-17.5472438,12770.67225,0.148333494,-1.008593444,44,196.857,1747.046589,2.844977273,4.474022727,2.999,0.332835422,11.42053571,27.67826129,0,6.691567203,459576,0.679647588,0.455,0.687985724,-2.758673782,855.6200822,1.056001713,0.362035163,37398,0.703626638,0.446,0.720336412,3.188306814,962.0623941,1.182783906,0.608871096,14751,0.647382144,0.468,0.638657676,-4.56346544,0.024086673,0.93069651,-0.154160217
BLG,106,15.56681737095494,2296114,9.112861159,9.185,6.525413795,-5.476622745,26763.29458,0.304248447,-0.721446348,43.2814107,340.1047092,22.07686667,14.73373575,30,31.29,5.640767903,6.35225,2.900073431,0.852675143,1.167182559,1.244506242,0.179433777,0.999945573,0.236776668,2020620,0.438579303,0.057,0.759558333,0.883807263,1112.869057,1.93681818,2.531855274,191671,1.156916967,0.973,1.069914825,-2.528982902,2748.721694,0.268966544,-1.527956475,31,153.468,1205.94936,2.887290323,4.950580645,2.999,0.322875125,11.79264002,27.33947816,0,6.942916753,659932,0.163271029,0.033,0.366816369,1.787607765,556.8473576,3.751322319,15.93341205,25654,0.411528923,0.102,0.608160838,0.973486201,-801.4629502,1.876586574,3.05277819,49583,0.102297521,0.048,0.189880634,8.496840173,1814.039476,4.863210708,27.98083639
BLG,107,4.4319701850976445,1732248,3.25848956,2.588,3.153707404,-7.241800654,8993.807425,2.456171173,10.52323063,32.48674157,277.9479529,15.55609091,16.09807436,11,30.097,8.002904279,2.199,1.658357191,0.963390728,0.614542553,0.29857328,0.101216956,0.99995997,0.156699611,4104140,1.345131014,1.429,1.020635538,-3.817949307,9951.57556,-0.030730513,-1.498711851,1502400,1.325611858,1.429,1.057382395,-2.668717605,13407.70138,-0.014986765,-1.574907,38,189.594,1622.116027,2.762526316,4.989315789,2.999,0.425464118,10.22943359,28.8107519,0,6.527721696,237218,1.163409311,1.167,0.900540504,-8.063974524,32.55096642,0.156618434,-1.223575347,23053,1.201066629,1.152,0.877209854,-7.846062518,0.053479875,0.218798593,-1.051707052,5298,1.545634013,1.7935,0.756189697,-15.75072747,0.0943089,-0.623851864,-0.52549316
BLG,107b,2.698199156963477,1580200,6.090624292,2.626,7.397420732,-2.00160787,13642.09738,1.721524953,2.284472308,9.039707396,99.95206122,11.382,21.65590348,3,22.3,9.765271322,2.591,2.68822901,1.110901667,1.170818289,0.794448577,0.160144555,0.999938681,0.217232139,3899649,1.101160281,1.143,0.819002848,-6.181542747,1420.221795,0.145544345,-1.007217185,1280172,1.127277791,1.173,0.872739241,-6.852145628,945.5520781,0.129297782,-1.164526688,30,134.644,1488.758954,2.8578,4.488133333,2.999,0.262908585,7.497066969,23.23885406,0,5.306099412,445681,0.961139968,1.025,0.676564992,-3.911223914,968.7772064,-0.050795877,-1.036122943,28681,1.150738573,1.203,0.651482577,2.282118218,1075.269693,-0.043990391,-0.340214409,20926,1.1847797,1.412,0.536176784,-7.04009212,5035.409255,-0.91618111,-0.308227118
BLG,109,14.790796235574259,2117030,6.854809696,6.305,5.389796296,-8.864865116,12631.41021,0.617871787,-0.086028448,36.32317979,273.224759,19.38039394,12.576942,33,30.724,4.760120501,4.589,2.250511377,0.790154355,1.131261473,0.709549417,0.137405697,0.999959652,0.212949706,1995898,0.63332567,0.06,0.90107024,4.460085287,3148.255941,1.265525524,0.156055804,547824,0.749084301,0.093,0.977022126,3.87790607,3410.550613,0.98855364,-0.568947131,39,221.536,1666.404774,2.916871795,5.680410256,2.999,0.278054631,10.58841981,26.80103375,0,6.407927749,286272,0.250668749,0.014,0.592576048,5.806116555,350.0857429,2.780467918,7.012201634,18704,0.552194985,0.042,0.866232511,4.551772239,3160.255065,1.519571795,0.9131109,3537,0.147524173,0.018,0.372959099,11.26471971,-0.050080077,4.279266123,21.88318481
BLG,109b,21.461162273423184,2015626,7.524336565,6.328,5.99450036,-10.86850068,56817.13773,0.637741342,-0.470715527,25.90094542,240.4072687,19.49096552,10.94044963,29,29.958,6.694603069,4.569,2.617458616,1.069087959,1.275721848,0.658828874,0.159407732,0.999940869,0.21028559,1890114,0.591393616,0.054,0.931536415,5.591176686,10016.94375,1.440694481,0.49960452,492867,0.726133005,0.049,1.035421061,5.860403426,9714.391056,1.09764299,-0.475371449,44,206.014,1912.179739,2.9525,4.682136364,2.999,0.151476838,11.39646331,28.65349865,0,6.90248543,290668,0.212684313,0.027,0.53610654,6.46231832,3474.761133,3.413039955,11.03833715,16280,0.385621683,0.049,0.736656785,5.034913778,8208.834825,2.255796847,3.88521159,14367,0.097877775,0.058,0.167640285,8.541928871,2683.211278,6.535425709,60.61643149
BLG,110,5.435130097709303,1332673,4.966952297,3.22,5.428801198,-2.716458014,31634.44355,1.530788476,1.811365873,19.51062518,182.3483157,21.24175,19.48576852,8,28.463,4.731735071,2.839,2.132225999,0.985144353,0.714052729,0.691393626,0.133426268,0.99995364,0.224608397,2867713,0.943542011,0.81,0.828605314,-2.175754744,6474.95758,0.64759653,-0.604648124,790715,0.878929774,0.749,0.830735201,-4.1020992,7140.778226,0.773652063,-0.413048563,34,136.804,1278.584297,2.816294118,4.023647059,2.999,0.307849484,10.54353087,25.29650357,0,6.305455155,425050,0.992644519,0.913,0.809999521,0.731638307,5078.92658,0.481674717,-0.795360131,30817,0.88706623,0.743,0.780655246,5.392767469,4670.118817,0.711388532,-0.461473032,10652,1.313413443,1.14,0.8647215,0.968913079,-0.018655016,0.153031744,-1.128178544
